CategoryID,City,Customer Company,Country,EmployeeID,PostalCode,ProductID,ShipperID,SupplierID,Discount,Freight,Quantity,QuantityPerUnit,UnitPrice,UnitsInStock,UnitsOnOrder,Profit,OrderYear,OrderMonth
2,36,42,20,2,76,63,2,7,0.0,50.46,8,68,21.02,24,0,40.96,2004,3
2,36,42,20,2,76,44,2,20,0.0,50.46,16,7,80.78,27,0,217.76,2004,3
3,36,42,20,2,76,59,2,28,0.0,50.46,15,105,8.57,79,0,28.2,2004,3
8,36,42,20,2,76,73,2,17,0.0,50.46,25,100,1.07,101,0,4.5,2004,3
2,52,33,4,2,1,44,2,20,0.1,21.08,24,7,82.68,27,0,372.24,2004,3
6,52,33,4,2,1,51,2,24,0.1,21.08,2,10,106.56,20,0,47.64,2004,3
8,52,33,4,2,1,13,2,6,0.1,21.08,20,25,23.03,24,0,38.4,2004,3
1,27,11,8,2,15,2,2,1,0.0,78.52,40,10,17.54,17,40,54.8,2004,4
3,27,11,8,2,15,59,2,28,0.25,78.52,30,105,9.15,79,0,73.8,2004,4
3,27,11,8,2,15,62,2,29,0.0,78.52,15,30,28.0,17,0,39.15,2004,4
8,27,11,8,2,15,36,2,17,0.25,78.52,40,20,7.34,112,0,35.6,2004,4
2,5,27,10,6,23,66,1,2,0.0,71.44,30,15,19.89,4,100,99.3,2004,4
3,5,27,10,6,23,68,1,8,0.0,71.44,20,1,11.27,6,10,32.0,2004,4
8,41,23,12,1,40,10,3,4,0.0,22.95,15,20,6.92,31,0,10.8,2004,5
8,41,23,12,1,40,13,3,6,0.0,22.95,10,25,27.45,24,0,63.4,2004,5
6,6,34,6,8,14,17,2,7,0.0,52.33,20,36,26.24,0,0,137.8,2004,5
8,6,34,6,8,14,30,2,13,0.0,52.33,15,1,25.4,10,0,40.35,2004,5
2,42,19,11,1,72,4,3,2,0.0,58.76,10,15,21.32,53,0,19.8,2004,5
3,42,19,11,1,72,62,3,29,0.0,58.76,28,30,30.61,17,0,146.16,2004,5
6,42,19,11,1,72,17,3,7,0.05,58.76,70,36,24.46,0,0,357.7,2004,5
2,57,61,16,2,66,4,2,2,0.0,22.69,35,15,20.78,53,0,50.4,2004,5
2,57,61,16,2,66,8,2,3,0.25,22.69,70,20,19.4,6,0,228.2,2004,5
1,54,62,4,2,5,75,2,12,0.15,28.29,6,1,7.75,125,0,6.84,2004,6
2,54,62,4,2,5,39,2,18,0.15,28.29,50,3,58.72,69,0,527.5,2004,6
3,54,62,4,2,5,25,2,11,0.0,28.29,10,1,13.21,76,0,23.6,2004,6
8,54,62,4,2,5,40,2,19,0.0,28.29,4,1,17.0,123,0,2.64,2004,6
2,15,53,11,1,79,65,3,2,0.05,65.12,10,40,10.08,76,0,14.0,2004,6
2,15,53,11,1,79,38,3,18,0.05,65.12,20,4,75.04,17,0,253.2,2004,6
2,15,53,11,1,79,44,3,20,0.05,65.12,77,7,73.74,27,0,505.89,2004,6
8,15,53,11,1,79,41,3,19,0.0,65.12,13,1,10.42,85,0,40.82,2004,6
3,64,7,6,8,46,25,2,11,0.0,40.91,50,1,15.04,76,0,209.5,2004,6
3,64,7,6,8,46,54,2,25,0.0,40.91,24,24,37.07,21,0,163.2,2004,6
6,64,7,6,8,46,51,2,24,0.0,40.91,20,10,109.79,20,0,541.0,2004,6
1,35,69,1,2,81,71,2,15,0.0,33.65,5,10,29.73,26,0,16.2,2004,6
3,35,69,1,2,81,69,2,15,0.0,33.65,30,100,2.05,26,0,12.0,2004,6
1,41,64,12,2,39,11,2,5,0.0,35.04,24,25,29.48,22,30,201.12,2004,6
2,4,43,9,4,54,65,1,2,0.0,23.84,5,40,9.12,76,0,2.2,2004,6
2,4,43,9,4,54,77,1,12,0.0,23.84,5,1,12.71,32,0,8.8,2004,6
3,26,75,7,3,20,21,2,8,0.1,67.63,5,1,10.53,3,40,8.75,2004,6
5,26,75,7,3,20,64,2,12,0.1,67.63,35,1,32.34,22,80,108.15,2004,6
5,26,75,7,3,20,57,2,26,0.0,67.63,25,20,18.05,36,0,47.75,2004,6
7,26,75,7,3,20,28,2,12,0.1,67.63,13,1,47.47,26,0,138.58,2004,6
5,30,48,16,1,56,56,3,26,0.25,57.37,18,15,39.42,21,10,94.5,2004,6
6,30,48,16,1,56,29,3,12,0.0,57.37,20,1,117.78,0,0,340.8,2004,6
8,62,46,18,4,27,36,1,17,0.2,66.09,6,20,7.77,112,0,7.92,2004,6
3,32,87,18,6,44,54,1,25,0.0,70.91,10,24,32.95,21,0,26.8,2004,7
7,32,87,18,6,44,14,1,6,0.0,70.91,15,21,21.59,35,0,18.45,2004,7
2,9,20,6,3,18,15,2,6,0.0,73.01,5,30,6.12,39,0,5.7,2004,7
2,9,20,6,3,18,39,2,18,0.0,73.01,4,3,61.21,69,0,52.16,2004,7
3,9,20,6,3,18,25,2,11,0.0,73.01,4,1,14.34,76,0,13.96,2004,7
2,69,45,16,1,63,39,3,18,0.15,49.19,20,3,59.78,69,0,232.2,2004,7
7,69,45,16,1,63,28,3,12,0.15,49.19,20,1,41.18,26,0,87.4,2004,7
1,35,69,1,3,81,2,2,1,0.2,65.53,25,10,19.22,17,40,76.25,2004,7
1,35,69,1,3,81,11,2,5,0.2,65.53,50,25,29.1,22,30,400.0,2004,7
3,27,11,8,3,15,69,2,15,0.1,67.66,18,100,1.83,26,0,3.24,2004,7
4,27,11,8,3,15,50,2,23,0.1,67.66,15,1,16.49,65,0,43.8,2004,7
8,35,69,1,3,81,30,2,13,0.2,65.53,35,1,24.02,10,0,45.85,2004,7
8,35,69,1,3,81,58,2,27,0.2,65.53,30,20,43.97,62,0,204.0,2004,7
3,27,11,8,2,15,33,2,15,0.0,62.31,24,25,24.06,112,0,92.64,2004,7
1,36,42,20,3,76,24,2,10,0.0,38.06,12,100,4.25,20,0,4.2,2004,7
1,36,42,20,3,76,75,2,12,0.0,38.06,30,1,7.21,125,0,18.0,2004,7
3,36,42,20,3,76,55,2,25,0.0,38.06,20,20,42.47,115,0,185.8,2004,7
2,30,48,16,1,56,38,3,18,0.05,75.98,20,4,77.36,17,0,299.6,2004,7
3,30,48,16,1,56,19,3,8,0.05,75.98,10,1,8.5,25,0,11.0,2004,7
5,30,48,16,1,56,56,3,26,0.05,75.98,12,15,40.13,21,10,71.52,2004,7
8,30,48,16,1,56,30,3,13,0.05,75.98,8,1,24.61,10,0,15.2,2004,7
2,52,33,4,2,1,65,2,2,0.1,62.83,20,40,10.0,76,0,26.4,2004,7
2,52,33,4,2,1,63,2,7,0.1,62.83,16,68,20.35,24,0,71.2,2004,7
8,52,33,4,2,1,41,2,19,0.1,62.83,8,1,9.33,85,0,16.4,2004,7
7,3,37,5,2,28,74,2,4,0.0,45.81,14,30,30.59,4,20,86.8,2004,7
1,35,69,1,3,81,5,2,2,0.0,72.13,32,100,5.62,0,0,28.8,2004,7
3,35,69,1,3,81,33,2,15,0.0,72.13,60,25,27.49,112,0,437.4,2004,7
6,35,69,1,3,81,29,2,12,0.0,72.13,14,1,129.38,0,0,400.96,2004,7
7,35,69,1,3,81,74,2,4,0.0,72.13,50,30,27.21,4,20,141.0,2004,7
8,35,69,1,3,81,18,2,7,0.0,72.13,9,18,26.78,42,0,42.21,2004,7
3,36,42,20,2,76,20,2,8,0.0,66.07,28,1,86.51,40,0,616.56,2004,7
3,36,42,20,2,76,60,2,28,0.0,66.07,15,53,5.32,19,0,13.2,2004,7
2,21,88,5,2,35,3,2,1,0.0,75.65,50,20,18.48,13,70,151.5,2004,8
1,29,36,6,8,41,11,2,5,0.0,55.48,30,25,25.52,22,30,132.6,2004,8
1,29,36,6,8,41,71,2,15,0.0,55.48,15,10,32.33,26,0,87.6,2004,8
3,29,36,6,8,41,69,2,15,0.0,55.48,15,100,2.11,26,0,6.9,2004,8
1,15,53,11,1,79,31,3,14,0.05,35.94,6,20,7.7,0,70,1.02,2004,8
3,61,55,11,1,78,33,3,15,0.0,25.49,49,25,25.96,112,0,282.24,2004,8
3,15,53,11,1,79,55,3,25,0.05,35.94,25,20,35.45,115,0,56.75,2004,8
3,61,55,11,1,78,59,3,28,0.0,25.49,16,105,9.32,79,0,42.08,2004,8
6,15,53,11,1,79,17,3,7,0.05,35.94,16,36,25.14,0,0,92.64,2004,8
3,54,62,4,3,5,19,2,8,0.05,73.13,18,1,8.8,25,0,25.2,2004,8
3,54,62,4,3,5,33,2,15,0.0,73.13,50,25,25.81,112,0,280.5,2004,8
3,27,11,8,3,15,33,2,15,0.0,29.01,20,25,25.84,112,0,112.8,2004,8
6,27,11,8,3,15,17,2,7,0.0,29.01,2,36,22.67,0,0,6.64,2004,8
3,63,68,10,6,10,26,1,11,0.0,65.54,2,1,28.33,15,0,4.4,2004,8
2,64,7,6,8,46,76,2,23,0.0,60.85,15,2,390.82,57,0,1291.8,2004,8
3,36,42,20,3,76,54,2,25,0.0,55.42,15,24,34.23,21,0,59.4,2004,8
3,64,7,6,8,46,68,2,8,0.05,60.85,4,1,11.55,6,10,7.52,2004,8
4,36,42,20,3,76,43,2,20,0.0,55.42,60,1,13.0,17,10,151.2,2004,8
5,64,7,6,8,46,64,2,12,0.0,60.85,50,1,33.95,22,80,235.0,2004,8
8,36,42,20,3,76,10,2,4,0.0,55.42,2,20,7.49,31,0,2.58,2004,8
8,36,42,20,3,76,30,2,13,0.0,55.42,10,1,27.25,10,0,45.4,2004,8
3,32,87,18,6,44,26,1,11,0.0,64.82,10,1,30.04,15,0,39.1,2004,8
3,32,87,18,6,44,54,1,25,0.0,64.82,40,24,34.12,21,0,154.0,2004,8
3,60,31,18,4,47,55,1,25,0.05,34.85,18,20,38.96,115,0,104.04,2004,9
8,60,31,18,4,47,41,1,19,0.05,34.85,12,1,8.72,85,0,17.28,2004,9
3,60,31,18,4,47,62,1,29,0.0,51.48,35,30,29.84,17,0,155.75,2004,9
5,60,31,18,4,47,52,1,24,0.0,51.48,20,14,87.98,38,0,343.4,2004,9
8,60,31,18,4,47,10,1,4,0.0,51.48,14,20,6.99,31,0,11.06,2004,9
6,69,45,16,1,63,17,3,7,0.25,56.71,50,36,25.37,0,0,301.0,2004,9
6,69,45,16,1,63,47,3,22,0.25,56.71,30,14,26.99,36,0,146.1,2004,9
8,69,45,16,1,63,40,3,19,0.25,56.71,50,1,17.9,123,0,78.0,2004,9
1,35,1,1,2,81,2,2,1,0.0,29.06,10,10,20.05,17,40,38.8,2004,9
2,35,1,1,2,81,72,2,14,0.0,29.06,10,30,12.6,14,0,36.4,2004,9
5,35,1,1,2,81,22,2,9,0.0,29.06,12,90,3.75,104,0,13.2,2004,9
1,54,47,4,2,4,11,2,5,0.0,77.44,10,25,25.73,22,30,46.3,2004,10
8,54,47,4,2,4,46,2,21,0.0,77.44,5,40,11.85,95,0,13.9,2004,10
1,5,27,10,6,23,24,1,10,0.0,34.95,28,100,4.6,20,0,19.6,2004,10
3,5,27,10,6,23,25,1,11,0.0,34.95,12,1,13.46,76,0,31.32,2004,10
3,69,45,16,1,63,27,3,11,0.0,72.69,50,1,44.25,49,0,409.5,2004,10
1,27,11,8,3,15,2,2,1,0.15,73.65,45,10,20.22,17,40,182.25,2004,10
1,57,61,16,3,66,2,2,1,0.15,61.04,40,10,17.56,17,40,55.6,2004,10
2,57,61,16,3,66,44,2,20,0.15,61.04,2,7,68.18,27,0,2.02,2004,10
3,27,11,8,3,15,16,2,7,0.15,73.65,49,24,9.24,29,0,93.59,2004,10
3,27,11,8,3,15,61,2,29,0.15,73.65,90,20,25.95,113,0,333.9,2004,10
3,57,61,16,3,66,16,2,7,0.15,61.04,35,24,9.56,29,0,78.05,2004,10
6,27,11,8,3,15,29,2,12,0.15,73.65,24,1,129.15,0,0,681.84,2004,10
1,27,11,8,3,15,11,2,5,0.0,23.33,30,25,30.64,22,30,286.2,2004,10
2,27,11,8,3,15,66,2,2,0.0,23.33,60,15,19.48,4,100,174.0,2004,10
3,27,11,8,3,15,54,2,25,0.0,23.33,80,24,36.42,21,0,492.0,2004,10
5,35,52,1,2,71,56,2,26,0.0,26.66,20,15,39.82,21,10,113.0,2004,10
5,27,11,8,3,15,23,2,9,0.0,72.95,15,100,8.91,61,0,22.2,2004,10
5,27,11,8,3,15,64,2,12,0.0,72.95,8,1,36.39,22,80,57.12,2004,10
7,35,52,1,2,71,7,2,3,0.0,26.66,30,40,39.74,15,0,198.9,2004,10
8,27,11,8,3,15,18,2,7,0.0,72.95,30,18,25.19,42,0,93.0,2004,10
1,26,75,7,9,20,11,2,5,0.2,76.16,6,25,26.71,22,30,33.66,2004,10
7,26,75,7,9,20,28,2,12,0.0,76.16,12,1,43.52,26,0,80.52,2004,10
1,32,87,18,6,44,24,1,10,0.05,61.0,80,100,4.19,20,0,23.2,2004,10
6,32,87,18,6,44,51,1,24,0.0,61.0,18,10,90.69,20,0,143.1,2004,10
1,25,72,1,3,74,71,2,15,0.0,37.32,12,10,32.62,26,0,73.56,2004,10
3,25,72,1,3,74,33,2,15,0.0,37.32,12,25,26.59,112,0,76.68,2004,10
1,24,6,16,1,65,24,3,10,0.1,40.45,20,100,4.21,20,0,6.2,2004,10
1,24,6,16,1,65,31,3,14,0.1,40.45,3,20,8.27,0,70,2.22,2004,10
3,24,6,16,1,65,19,3,8,0.1,40.45,12,1,9.26,25,0,22.32,2004,10
5,24,6,16,1,65,52,3,24,0.1,40.45,15,14,76.76,38,0,89.25,2004,10
1,53,21,5,3,38,70,2,7,0.0,60.61,12,15,26.14,15,10,13.92,2004,10
3,53,21,5,3,38,55,2,25,0.05,60.61,2,20,37.64,115,0,8.92,2004,10
3,43,5,6,8,34,26,2,11,0.0,67.5,6,1,32.53,15,0,38.4,2004,10
8,43,5,6,8,34,40,2,19,0.0,67.5,20,1,18.65,123,0,46.2,2004,10
2,28,17,6,8,17,38,2,18,0.0,30.01,30,4,83.07,17,0,620.7,2004,10
2,28,17,6,8,17,53,2,24,0.0,30.01,28,6,65.47,0,0,366.52,2004,10
3,28,17,6,8,17,59,2,28,0.0,30.01,60,105,8.22,79,0,91.8,2004,10
5,28,17,6,8,17,64,2,12,0.0,30.01,30,1,34.83,22,80,167.4,2004,10
3,32,87,18,6,44,59,1,28,0.0,26.41,12,105,8.14,79,0,17.4,2004,10
6,32,87,18,6,44,47,1,22,0.0,26.41,30,14,26.01,36,0,116.7,2004,10
2,52,33,4,2,1,77,2,12,0.15,31.83,10,1,12.03,32,0,10.8,2004,10
2,52,33,4,2,1,53,2,24,0.15,31.83,15,6,55.9,0,0,52.8,2004,10
3,52,33,4,2,1,19,2,8,0.15,31.83,4,1,9.14,25,0,6.96,2004,10
3,52,33,4,2,1,26,2,11,0.0,31.83,30,1,31.86,15,0,171.9,2004,10
8,32,87,18,6,44,40,1,19,0.0,44.07,10,1,17.59,123,0,12.5,2004,10
3,54,13,4,2,7,19,2,8,0.0,58.3,5,1,9.69,25,0,11.45,2004,10
3,54,13,4,2,7,26,2,11,0.0,58.3,30,1,33.4,15,0,218.1,2004,10
3,54,13,4,2,7,54,2,25,0.25,58.3,24,24,33.61,21,0,80.16,2004,10
3,44,58,6,8,55,59,2,28,0.0,41.02,30,105,8.8,79,0,63.3,2004,10
8,44,58,6,8,55,73,2,17,0.2,41.02,20,100,1.21,101,0,6.4,2004,10
2,34,39,15,4,19,77,1,12,0.15,49.27,7,1,14.2,32,0,22.75,2004,10
2,34,39,15,4,19,44,1,20,0.15,49.27,15,7,82.34,27,0,227.55,2004,10
3,64,7,6,8,46,25,2,11,0.05,31.75,60,1,13.78,76,0,175.8,2004,10
5,64,7,6,8,46,42,2,20,0.05,31.75,20,1,13.82,26,0,57.4,2004,10
2,24,6,16,1,65,65,3,2,0.1,21.74,15,40,9.49,76,0,12.15,2004,10
2,24,6,16,1,65,66,3,2,0.1,21.74,10,15,19.93,4,100,33.5,2004,10
3,24,6,16,1,65,69,3,15,0.1,21.74,10,100,1.87,26,0,2.2,2004,10
5,54,47,4,9,4,56,2,26,0.0,26.06,30,15,35.37,21,10,36.0,2004,10
5,34,32,15,4,21,56,1,26,0.0,62.95,28,15,38.31,21,10,115.92,2004,10
3,12,38,2,3,9,21,2,8,0.0,56.3,12,1,10.96,3,40,26.16,2004,11
7,12,38,2,3,9,14,2,6,0.0,56.3,12,21,24.58,35,0,50.64,2004,11
4,69,45,16,1,63,43,3,20,0.0,48.81,12,1,10.82,17,10,4.08,2004,11
6,69,45,16,1,63,17,3,7,0.0,48.81,40,36,25.65,0,0,252.0,2004,11
7,69,45,16,1,63,28,3,12,0.0,48.81,28,1,42.81,26,0,168.0,2004,11
3,36,42,20,9,76,26,2,11,0.0,62.54,15,1,30.97,15,0,72.6,2004,11
4,36,42,20,9,76,35,2,16,0.0,62.54,8,14,5.7,20,0,4.24,2004,11
6,36,42,20,9,76,17,2,7,0.0,62.54,10,36,27.0,0,0,76.5,2004,11
8,36,42,20,9,76,41,2,19,0.0,62.54,30,1,9.19,85,0,57.3,2004,11
2,28,17,6,8,17,3,2,1,0.0,71.42,60,20,19.1,13,70,219.0,2004,11
2,28,17,6,8,17,38,2,18,0.0,71.42,30,4,84.24,17,0,655.8,2004,11
3,28,17,6,8,17,68,2,8,0.0,71.42,35,1,13.04,6,10,117.95,2004,11
3,28,17,6,8,17,26,2,11,0.0,71.42,40,1,34.21,15,0,323.2,2004,11
3,69,45,16,1,63,16,3,7,0.0,37.33,10,24,8.53,29,0,12.0,2004,11
3,69,45,16,1,63,62,3,29,0.0,37.33,5,30,32.19,17,0,34.0,2004,11
2,8,65,16,9,57,44,2,20,0.05,33.5,100,7,80.91,27,0,1374.0,2004,11
7,8,65,16,9,57,28,2,12,0.0,33.5,15,1,49.09,26,0,184.2,2004,11
1,43,5,6,8,34,70,2,7,0.1,75.97,25,15,30.43,15,10,136.25,2004,11
4,3,37,5,3,28,12,2,5,0.15,23.11,30,20,10.4,86,0,74.4,2004,11
5,3,37,5,3,28,23,2,9,0.15,23.11,70,100,9.6,61,0,151.9,2004,11
6,43,5,6,8,34,48,2,22,0.1,75.97,15,25,35.9,15,70,113.25,2004,11
3,32,87,18,6,44,16,1,7,0.2,76.76,20,24,8.88,29,0,31.0,2004,11
3,32,87,18,6,44,33,1,15,0.2,76.76,20,25,27.87,112,0,153.4,2004,11
8,32,87,18,6,44,46,1,21,0.2,76.76,10,40,11.97,95,0,29.0,2004,11
3,33,85,18,4,49,62,1,29,0.0,37.46,40,30,29.51,17,0,164.8,2004,11
4,33,85,18,4,49,35,1,16,0.0,37.46,30,14,6.06,20,0,26.7,2004,11
7,33,85,18,4,49,7,1,3,0.0,37.46,10,40,43.46,15,0,103.5,2004,11
1,41,23,12,1,40,71,3,15,0.0,69.02,30,10,27.85,26,0,40.8,2004,11
2,41,23,12,1,40,39,3,18,0.0,69.02,20,3,64.89,69,0,334.4,2004,11
2,41,23,12,1,40,53,3,24,0.0,69.02,50,6,62.31,0,0,496.5,2004,11
3,41,23,12,1,40,61,3,29,0.0,69.02,25,20,26.75,113,0,112.75,2004,11
3,5,27,10,6,23,26,1,11,0.05,72.73,30,1,33.93,15,0,234.0,2004,11
3,5,27,10,6,23,49,1,23,0.05,72.73,30,1,19.82,10,60,131.7,2004,11
5,5,27,10,6,23,42,1,20,0.05,72.73,40,1,13.37,26,0,96.8,2004,11
3,9,20,6,3,18,21,2,8,0.15,30.41,40,1,9.19,3,40,16.4,2004,11
3,9,20,6,3,18,49,2,23,0.15,30.41,21,1,20.08,10,60,97.65,2004,11
3,9,20,6,9,18,59,2,28,0.0,32.32,36,105,7.85,79,0,41.76,2004,11
1,35,69,1,2,81,75,2,12,0.25,69.81,4,1,7.92,125,0,5.24,2004,11
3,35,69,1,2,81,68,2,8,0.25,69.81,21,1,11.83,6,10,45.36,2004,11
2,34,39,15,4,19,44,1,20,0.0,46.26,40,7,68.49,27,0,52.8,2004,11
3,34,39,15,4,19,16,1,7,0.15,46.26,40,24,8.51,29,0,47.2,2004,11
4,34,39,15,4,19,35,1,16,0.15,46.26,20,14,5.66,20,0,9.8,2004,11
2,27,11,8,9,15,63,2,7,0.25,48.41,35,68,21.75,24,0,204.75,2004,11
4,27,11,8,9,15,50,2,23,0.0,48.41,40,1,17.15,65,0,143.2,2004,11
1,48,12,16,1,62,1,3,1,0.0,24.58,20,10,18.12,39,0,55.0,2004,11
1,35,69,1,9,81,11,2,5,0.0,74.82,15,25,30.29,22,30,137.85,2004,11
1,35,69,1,9,81,31,2,14,0.0,74.82,30,20,8.27,0,70,22.2,2004,11
3,35,69,1,9,81,16,2,7,0.0,74.82,14,24,9.13,29,0,25.2,2004,11
4,35,69,1,9,81,35,2,16,0.0,74.82,6,14,6.25,20,0,6.48,2004,11
5,35,69,1,9,81,22,2,9,0.0,74.82,24,90,3.28,104,0,15.12,2004,11
2,57,61,16,3,66,72,2,14,0.05,54.26,20,30,12.17,14,0,64.2,2004,11
3,57,61,16,3,66,33,2,15,0.05,54.26,60,25,27.4,112,0,432.0,2004,11
5,35,1,1,3,81,23,2,9,0.0,70.53,21,100,8.5,61,0,22.47,2004,11
8,35,1,1,3,81,13,2,6,0.0,70.53,1,25,27.09,24,0,5.98,2004,11
1,69,45,16,1,63,1,3,1,0.15,29.05,15,10,21.56,39,0,92.85,2004,11
5,69,45,16,1,63,64,3,12,0.0,29.05,30,1,34.02,22,80,143.1,2004,11
7,69,45,16,1,63,74,3,4,0.15,29.05,20,30,32.64,4,20,165.0,2004,11
2,18,81,0,4,53,63,1,7,0.0,46.63,65,68,18.94,24,0,197.6,2004,11
5,18,81,0,4,53,23,1,9,0.0,46.63,60,100,9.07,61,0,98.4,2004,11
1,69,45,16,1,63,11,3,5,0.0,25.64,3,25,29.37,22,30,24.81,2004,12
2,69,45,16,1,63,72,3,14,0.0,25.64,9,30,10.66,14,0,15.3,2004,12
3,69,45,16,1,63,33,3,15,0.2,25.64,8,25,27.23,112,0,56.24,2004,12
3,42,19,11,1,72,16,3,7,0.0,63.71,16,24,9.98,29,0,42.4,2004,12
4,42,19,11,1,72,12,3,5,0.0,63.71,15,20,10.22,86,0,34.5,2004,12
5,42,19,11,1,72,64,3,12,0.0,63.71,6,1,35.02,22,80,34.62,2004,12
7,42,19,11,1,72,74,3,4,0.0,63.71,30,30,32.85,4,20,253.8,2004,12
1,53,21,5,3,38,24,2,10,0.0,48.66,14,100,4.9,20,0,14.0,2004,12
5,53,21,5,3,38,42,2,20,0.0,48.66,30,1,15.1,26,0,124.5,2004,12
8,53,21,5,3,38,40,2,19,0.0,48.66,5,1,18.0,123,0,8.3,2004,12
1,9,20,6,3,18,31,2,14,0.0,43.29,4,20,7.8,0,70,1.08,2004,12
2,9,20,6,3,18,6,2,3,0.0,43.29,6,50,3.71,120,0,3.0,2004,12
2,9,20,6,3,18,72,2,14,0.0,43.29,40,30,10.96,14,0,80.0,2004,12
7,9,20,6,3,18,14,2,6,0.0,43.29,9,21,21.14,35,0,7.02,2004,12
8,9,20,6,3,18,13,2,6,0.0,43.29,12,25,23.09,24,0,23.76,2004,12
1,19,35,19,6,13,31,1,14,0.0,36.46,30,20,8.0,0,70,14.1,2004,12
2,19,35,19,6,13,72,1,14,0.0,36.46,21,30,11.12,14,0,45.36,2004,12
6,19,35,19,6,13,51,1,24,0.0,36.46,6,10,92.14,20,0,56.4,2004,12
8,19,35,19,6,13,73,1,17,0.0,36.46,9,100,1.04,101,0,1.35,2004,12
8,19,35,19,6,13,58,1,27,0.0,36.46,20,20,52.17,62,0,300.0,2004,12
3,28,17,6,8,17,16,2,7,0.0,66.26,50,24,8.68,29,0,67.5,2004,12
3,28,17,6,8,17,27,2,11,0.0,66.26,120,1,41.7,49,0,676.8,2004,12
3,28,17,6,8,17,33,2,15,0.15,66.26,16,25,28.01,112,0,124.96,2004,12
3,28,17,6,8,17,60,2,28,0.15,66.26,84,53,5.35,19,0,76.44,2004,12
6,28,17,6,8,17,9,2,4,0.15,66.26,16,10,42.05,29,0,146.4,2004,12
3,12,56,2,2,9,68,2,8,0.0,49.83,6,1,12.78,6,10,18.66,2004,12
4,12,56,2,2,9,35,2,16,0.0,49.83,3,14,6.24,20,0,3.21,2004,12
8,12,56,2,2,9,41,2,19,0.0,49.83,10,1,9.63,85,0,23.5,2004,12
1,64,7,6,8,46,1,2,1,0.2,38.79,40,10,21.63,39,0,250.4,2004,12
2,64,7,6,8,46,8,2,3,0.0,38.79,24,20,20.93,6,0,114.96,2004,12
8,64,7,6,8,46,30,2,13,0.2,38.79,20,1,25.88,10,0,63.4,2004,12
8,64,7,6,8,46,40,2,19,0.2,38.79,25,1,18.25,123,0,47.75,2004,12
1,27,11,8,9,15,31,2,14,0.2,40.24,60,20,8.67,0,70,68.4,2004,12
3,35,69,1,9,81,49,2,23,0.0,49.41,30,1,21.55,10,60,183.6,2004,12
3,27,11,8,9,15,59,2,28,0.2,40.24,40,105,8.06,79,0,54.8,2004,12
4,35,69,1,9,81,35,2,16,0.0,49.41,35,14,5.8,20,0,22.05,2004,12
6,35,69,1,9,81,29,2,12,0.0,49.41,21,1,121.65,0,0,439.11,2004,12
6,27,11,8,9,15,51,2,24,0.0,40.24,3,10,108.02,20,0,75.84,2004,12
1,1,84,16,3,58,31,2,14,0.0,40.25,40,20,7.81,0,70,11.2,2004,12
2,1,84,16,3,58,72,2,14,0.0,40.25,24,30,11.76,14,0,67.2,2004,12
3,1,84,16,3,58,20,2,8,0.0,40.25,6,1,88.25,40,0,142.56,2004,12
